"","film","revenue","adult","budget","language","popularity","runtime","vote.average","vote.count","id","tagline","release.date","genres"
"3679","Demonic Toys",0,"False",0,"en",4.772,83,"4.9",53,40649,"They want to play with you...","12/03/1992","[27]"
"3680","Puerto Escondido",0,"False",110,"es",3.401,110,"6.8",74,46028,"","17/12/1992","[18, 35]"
"3681","Dragon Ball Z: Broly – The Legendary Super Saiyan",0,"False",0,"ja",17.229,70,"7.2",422,34433,"","06/03/1993","[12, 16, 878, 10751]"
"3682","Schindler's List",321365567,"False",22000000,"en",23.746,195,"8.6",9163,424,"Whoever saves one life, saves the world entire.","30/11/1993","[18, 36, 10752]"
"3683","What's Eating Gilbert Grape",10032765,"False",11000000,"en",13.686,118,"7.6",2172,1587,"Life is a terrible thing to sleep through.","17/12/1993","[18, 10749]"
"3684","Groundhog Day",70906973,"False",14600000,"en",14.469,101,"7.5",4546,137,"He’s having the worst day of his life … over, and over …","11/02/1993","[35, 18, 14, 10749]"
"3685","Addams Family Values",48919043,"False",47000000,"en",17.708,94,"6.7",1478,2758,"The Family Just Got A Little Stranger","19/11/1993","[35, 14, 10751]"
"3686","Jurassic Park",920100000,"False",63000000,"en",17.971,127,"7.9",10132,329,"An adventure 65 million years in the making.","11/06/1993","[12, 878]"
"3687","Blue Flame",0,"False",0,"en",9.566,88,"0",0,74099,"A vigilante cop is on the trail of two alien life forms hiding out in his mind.","01/12/1993","[18, 14, 878, 53]"
"3688","Cliffhanger",255000211,"False",70000000,"en",13.36,112,"6.3",1217,9350,"The height of adventure.","28/05/1993","[28, 12, 53]"
"3689","The Fugitive",368875760,"False",44000000,"en",14.842,131,"7.4",2365,5503,"A murdered wife. A one-armed man. An obsessed detective. The chase begins.","06/08/1993","[12, 28, 53, 80, 9648]"
"3690","The Nightmare Before Christmas",75634409,"False",18000000,"en",16.565,76,"7.8",5420,9479,"This is Halloween, everybody make a scene!","09/10/1993","[16, 14, 10751]"
"3691","Demolition Man",159055768,"False",57000000,"en",14.108,115,"6.5",1957,9739,"The 21st Century's most dangerous cop. The 21st Century's most ruthless criminal.","08/10/1993","[80, 28, 878]"
"3692","Dragon Ball Z: Bojack Unbound",0,"False",0,"ja",11.852,51,"6.7",251,39105,"","10/07/1993","[28, 16, 878]"
"3693","Tombstone",56505065,"False",25000000,"en",11.078,130,"7.5",1046,11969,"Justice is coming.","25/12/1993","[37, 28]"
"3694","Robin Hood: Men in Tights",35739755,"False",20000000,"en",12.719,104,"6.6",1168,8005,"The legend had it coming...","28/07/1993","[35]"
"3695","Carlito's Way",36516012,"False",30000000,"en",10.036,144,"7.8",1680,6075,"He’s got a good future if he can live past next week.","10/11/1993","[80, 53]"
"3696","Mrs. Doubtfire",441286195,"False",25000000,"en",14.781,125,"7.2",3741,788,"She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.","24/11/1993","[35, 18, 10751]"
"3697","Hot Shots! Part Deux",133752825,"False",25000000,"en",16.225,86,"6.4",935,9255,"Just deux it.","21/05/1993","[28, 35, 10752]"
"3698","True Romance",12281551,"False",12500000,"en",11.363,120,"7.6",1471,319,"Stealing, Cheating, Killing. Who said romance was dead?","09/09/1993","[28, 80, 53, 10749]"
"3699","Falling Down",40903593,"False",25000000,"en",11.304,113,"7.3",1770,37094,"A Tale Of Urban Reality","26/02/1993","[80, 18, 53]"
"3700","Three Colors: Blue",0,"False",0,"fr",12.473,98,"7.8",756,108,"","10/01/1993","[18]"
"3701","A Bronx Tale",17287898,"False",22000000,"en",10.312,121,"7.7",935,1607,"One man lives in the neighborhood, another man owns it.","14/09/1993","[80, 18]"
"3702","Hocus Pocus",39514713,"False",28000000,"en",14.757,96,"6.9",1314,10439,"It's just a bunch of Hocus Pocus.","16/07/1993","[35, 14, 27, 10751]"
"3703","In the Name of the Father",65796862,"False",13000000,"en",11.227,133,"7.9",865,7984,"Falsely accused. Wrongly imprisoned. He fought for justice to clear his father’s name.","12/12/1993","[18]"
"3704","Dennis the Menace",117270765,"False",35000000,"en",13.962,94,"5.6",780,12139,"He's armed... He's adorable... And he's out of school for the entire summer.","23/06/1993","[35, 10751]"
"3705","In the Line of Fire",176997168,"False",40000000,"en",13.207,128,"6.9",768,9386,"An assassin on the loose. A president in danger. Only one man stands between them...","08/07/1993","[28, 18, 53, 80, 9648]"
"3706","Free Willy",153698625,"False",20000000,"en",11.45,112,"6.1",1002,1634,"How far would you go for a friend?","16/07/1993","[12, 18, 10751]"
"3707","Dazed and Confused",7993039,"False",6900000,"en",11.147,102,"7.5",1136,9571,"See it with a bud.","24/09/1993","[35, 18]"
"3708","Sliver",116300000,"False",40000000,"en",13.445,108,"5.3",292,867,"You like to watch... don't you?","21/05/1993","[18, 53]"
"3709","Hard Target",74189677,"False",18000000,"en",14.186,97,"6.2",494,2019,"Don't hunt what you can't kill.","20/08/1993","[28, 12, 80, 18, 53]"
"3710","Body of Evidence",13273595,"False",30000000,"en",10.162,101,"4.6",134,2149,"An act of love, or an act of murder?","15/01/1993","[18, 53, 10749]"
"3711","The Firm",270248367,"False",42000000,"en",9.624,154,"6.7",1016,37233,"Power can be murder to resist.","30/06/1993","[18, 9648, 53]"
"3712","Philadelphia",206678440,"False",26000000,"en",10.851,126,"7.7",2352,9800,"No one would take on his case... until one man was willing to take on the system.","22/12/1993","[18]"
"3713","Kalifornia",2395231,"False",9000000,"en",10.671,117,"6.7",411,10909,"Fear never travels alone.","01/09/1993","[80, 53]"
"3714","The Crush",13609396,"False",6000000,"en",11.064,89,"5.9",184,33408,"He thought it was just a crush. He was dead wrong.","02/04/1993","[18, 53]"
"3715","Ninja Scroll",0,"False",10000000,"ja",11.28,94,"7.5",234,14282,"Feudal Japan—a time of danger, intrigue and deception . . .","05/06/1993","[14, 12, 16]"
"3716","Point of No Return",0,"False",0,"en",10.277,108,"6",237,10498,"The Government gave her a choice. Death. Or life as an assassin. Now, there's no turning back","19/03/1993","[80, 53]"
"3717","Rising Sun",107198790,"False",40000000,"en",12.773,125,"6.1",388,7007,"A collision of East and West. A conspiracy of seduction and murder. A battle between tradition and power. Business is war.","30/07/1993","[28, 18, 53]"
"3718","The Pelican Brief",195268056,"False",45000000,"en",10.76,141,"6.4",760,9944,"","16/12/1993","[80, 18, 9648, 53]"
"3719","Homeward Bound: The Incredible Journey",0,"False",0,"en",12.508,84,"6.7",495,6878,"","03/02/1993","[12, 35, 18, 10751]"
"3720","The House of the Spirits",0,"False",25000000,"en",7.003,140,"6.8",335,2259,"","19/10/1993","[18, 10749]"
"3721","Return of the Living Dead 3",54207,"False",2000000,"en",7.999,97,"6",197,28260,"She's to die for.","01/10/1993","[35, 878, 10749, 27]"
"3722","The Visitors",0,"False",0,"fr",11.133,107,"7.2",1119,11687,"They Weren't Born Yesterday!","27/01/1993","[35, 14]"
"3723","Farewell My Concubine",0,"False",0,"zh",9.421,166,"8",225,10997,"","16/09/1993","[18]"
"3724","Indecent Proposal",266614059,"False",38000000,"en",12.717,117,"6.1",692,4478,"A husband. A wife. A millionaire. A proposal.","07/04/1993","[18, 10749]"
"3725","Last Action Hero",137298489,"False",85000000,"en",12.214,130,"6.3",1446,9593,"This isn't the movies anymore.","18/06/1993","[12, 14, 28, 35, 10751]"
"3726","RoboCop 3",10696210,"False",22000000,"en",12.463,104,"4.6",615,5550,"He's back to lay down the law.","17/04/1993","[28, 12, 80, 878, 53]"
"3727","Cool Runnings",154856263,"False",14000000,"en",11.96,98,"7",1092,864,"One dream. Four Jamaicans. Twenty below zero.","30/09/1993","[35, 36]"
"3728","The Three Musketeers",53898845,"False",30000000,"en",13.262,105,"6.3",472,10057,"All for one and one for all!","11/11/1993","[28, 12, 35]"
"3729","The Piano",116700000,"False",7000000,"en",12.921,121,"7.4",671,713,"","19/05/1993","[18, 10749]"
"3730","Ocean Waves",0,"False",0,"ja",13.064,76,"6.3",214,21057,"","05/05/1993","[16, 18, 10749, 10770]"
"3731","Coneheads",0,"False",0,"en",13.077,88,"5.1",473,9612,"Young ones! Parental units! We summon you!","23/07/1993","[35, 878, 10751]"
"3732","Sniper",18994653,"False",0,"en",8.386,98,"6",189,9545,"One Shot. One Kill. No Exceptions.","29/01/1993","[28, 18, 53]"
"3733","Sister Act 2: Back in the Habit",57319029,"False",38000000,"en",12.936,107,"6.3",992,6279,"","09/12/1993","[35, 10402]"
"3734","Sleepless in Seattle",227799884,"False",21000000,"en",10.614,105,"6.7",1296,858,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?","24/06/1993","[35, 18, 10749]"
"3735","We're Back! A Dinosaur's Story",9317021,"False",0,"en",8.841,72,"5.9",255,18890,"Wish for a dinosaur and watch all your dreams come true.","24/11/1993","[16, 878, 10751]"
"3736","Menace II Society",27900000,"False",3500000,"en",11.09,97,"7.4",333,9516,"This is the truth. This is what's real.","26/05/1993","[80, 18]"
"3737","Iron Monkey",14681661,"False",0,"cn",9.585,90,"7.6",148,12780,"Unmask the legend","03/09/1993","[28, 80, 18]"
"3738","Bound by Honor",0,"False",35000000,"en",10.576,180,"7.8",199,9702,"An epic story of three brothers. Bound by blood. Divided by fate. Driven by destiny.","05/02/1993","[28, 80, 18, 53]"
"3739","City Hunter",0,"False",0,"cn",9.575,105,"6.1",148,11198,"","16/01/1993","[28, 12, 35, 10749]"
"3740","The Secret Garden",0,"False",0,"en",12.348,102,"7.3",493,11236,"The timeless tale of a special place where magic, hope and love grow.","13/08/1993","[18, 14, 10751]"
"3741","Benny & Joon",23202734,"False",0,"en",11.572,98,"7.1",444,4104,"A romance on the brink of reality.","16/04/1993","[35, 18]"
"3742","Needful Things",0,"False",0,"en",10.317,120,"6.1",256,10657,"Buy Now. Pay Later.","27/08/1993","[18, 27]"
"3743","A Perfect World",135130999,"False",30000000,"en",10.315,138,"7.4",827,9559,"","24/11/1993","[80, 18, 53]"
"3744","Jason Goes to Hell: The Final Friday",15938065,"False",3000000,"en",9.504,87,"4.3",441,10285,"Evil has finally found a home.","13/08/1993","[27]"
"3745","The Wrong Trousers",0,"False",0,"en",10.053,30,"7.7",517,531,"Winner of the 1993 Academy Award for Best Animated Short.","17/12/1993","[16, 35, 10751]"
"3746","Dragon Ball Z: The History of Trunks",0,"False",0,"ja",8.541,48,"7.3",217,39324,"","24/02/1993","[28, 16, 878, 18]"
"3747","Teenage Mutant Ninja Turtles III",0,"False",10000000,"en",12.005,96,"5.1",398,1499,"The Turtles Are Back....In Time.","17/03/1993","[28, 12, 35, 14, 878, 10751]"
"3748","Nowhere to Run",0,"False",0,"en",9.221,94,"5.8",265,10413,"When the law can't protect the innocent,  the only hero left is an outlaw.","15/01/1993","[28]"
"3749","Striking Distance",0,"False",30,"en",11.829,102,"5.8",424,11074,"They shouldn't have put him in the water, if they didn't want him to make waves.","17/09/1993","[28, 80, 9648, 53]"
"3750","Judgment Night",12136938,"False",21000000,"en",8.265,110,"6.6",134,6,"Don't move. Don't whisper. Don't even breathe.","15/10/1993","[28, 80, 53]"
"3751","Maravan",0,"False",0,"ta",7.76,0,"0",0,361291,"","24/09/1993","[]"
"3752","Gettysburg",2.5e+07,"False",0,"en",8.509,254,"6.9",153,10655,"","08/10/1993","[18, 36, 10752]"
"3753","The Remains of the Day",23237911,"False",11500000,"en",9.754,134,"7.5",574,1245,"Diamond in the Rough","05/11/1993","[18, 10749]"
"3754","This Boy's Life",4104962,"False",0,"en",10.748,115,"7.1",458,8092,"A true story based on the award-winning book by Tobias Wolff.","09/04/1993","[18]"
"3755","Beethoven's 2nd",118243066,"False",15000000,"en",11.488,89,"5.2",507,10438,"The Newton Family is going to the dogs...","14/12/1993","[35, 10751]"
"3756","Once Upon a Time in China III",27540561,"False",0,"cn",9.035,112,"6.7",85,10619,"","01/01/1993","[28]"
"3757","Super Mario Bros.",20915465,"False",48000000,"en",11.41,104,"4.2",601,9607,"This Ain't No Game.","28/05/1993","[12, 35, 14, 10751]"
"3758","Crime Story",194720,"False",0,"cn",9.16,103,"6.8",73,18857,"The world's toughest city needs more than an army to stop the mob… They need one man!","24/06/1993","[28]"
"3759","Dave",6.3e+07,"False",0,"en",10.714,110,"6.5",390,11566,"In a country where anybody can become President, anybody just did.","07/05/1993","[35]"
"3760","The Beverly Hillbillies",0,"False",0,"en",11.325,93,"5.4",218,11041,"The day they moved in... Beverly Hills moved out.","15/10/1993","[35]"
"3761","The Sandlot",32416586,"False",0,"en",9.694,101,"7.3",519,11528,"A piece of paradise a half block wide and a whole summer long.","07/04/1993","[35, 10751]"
"3762","Grumpy Old Men",0,"False",0,"en",9.941,103,"6.7",328,11520,"The best of enemies until something came between them.","25/12/1993","[35]"
"3763","Little Buddha",4858139,"False",35000000,"en",8.431,140,"6.2",212,1689,"A magical journey to a place where the past and present meet","01/12/1993","[18, 36]"
"3764","Malice",46405336,"False",0,"en",7.681,107,"6.1",210,2246,"Her doctor wasn't playing God. He thought he was God.","29/09/1993","[53]"
"3765","Mr. Jones",0,"False",0,"en",7.412,114,"5.8",83,2625,"Everything That Makes Him Dangerous Makes Her Love Him More","08/10/1993","[18, 10749]"
"3766","National Lampoon's Loaded Weapon 1",0,"False",0,"en",10.797,84,"5.9",352,9644,"See it before they make the sequel!","04/02/1993","[28, 35, 80]"
"3767","Body Snatchers",428868,"False",13000000,"en",7.403,87,"6",171,4722,"Imagine... you're gone and someone else is living inside your body.","09/06/1993","[27, 878, 53]"
"3768","Much Ado About Nothing",22551000,"False",11000000,"en",7.899,111,"7.1",396,11971,"Romance. Mischief. Seduction. Revenge. Remarkable.","07/05/1993","[35, 18, 10749]"
"3769","For Love or Money",11146270,"False",30000000,"en",7.887,94,"6",159,9024,"He thought there was nothing as seductive as money. He was wrong.","01/10/1993","[35, 10749]"
"3770","Fearless",0,"False",0,"en",8.829,122,"7",152,10443,"Some people are afraid of nothing.","15/10/1993","[18]"
"3771","Stalingrad",0,"False",0,"de",9.127,134,"7.3",243,11101,"","21/01/1993","[18, 36, 10752]"
"3772","Killing Zoe",418961,"False",1500000,"en",5.618,96,"6.2",182,507,"","01/10/1993","[28, 80, 18, 53]"
"3773","The Wedding Banquet",6933459,"False",1000000,"zh",8.778,109,"7.2",97,9261,"A little deception at the reception.","04/08/1993","[35, 18, 10749]"
"3774","Batman: Mask of the Phantasm",5617391,"False",6000000,"en",10.431,76,"7.5",502,14919,"The Dark Knight fights to save Gotham city from its deadliest enemy.","25/12/1993","[28, 12, 16, 53, 10751]"
"3775","Wayne's World 2",47965000,"False",0,"en",10.424,95,"6",568,8873,"You'll laugh again! You'll cry again!! You'll hurl again!!!","10/12/1993","[10402, 35]"
"3776","The Dark Half",10611160,"False",15000000,"en",6.613,122,"5.9",176,10349,"There are very good reasons to be afraid of the dark.","23/04/1993","[27, 9648]"
"3777","The Legend of Fong Sai Yuk",3956913,"False",0,"cn",5.475,106,"7",79,17653,"","04/03/1993","[12, 28, 35]"
"3778","Boxing Helena",1796389,"False",0,"en",6.343,107,"4.7",102,18215,"Beyond love, beyond obsession, there hides something beyond reason.","18/06/1993","[18, 10749]"
"3779","What's Love Got to Do with It",0,"False",0,"en",5.842,118,"7",141,15765,"Who needs a heart when a heart can be broken?","09/06/1993","[18, 10402]"
"3780","Leprechaun",8556940,"False",900000,"en",8.34,92,"5.2",291,11811,"Your luck just ran out.","08/01/1993","[35, 27, 53]"
"3781","Red Rock West",2500000,"False",8000000,"en",7.832,98,"6.7",136,10427,"Where nothing is as it seems.","08/07/1993","[53]"
"3782","Rookie of the Year",53579269,"False",0,"en",7.832,103,"5.8",149,21845,"The Chicago Cubs needed a miracle... They got Henry Rowengartner.","07/07/1993","[35, 10751]"
"3783","The Real McCoy",0,"False",0,"en",7.33,100,"5.5",101,2047,"20 guards. 30 tons of steel. A security system second to none. They said there wasn't a man on Earth who could pull off a bank job like this. They were right.","10/09/1993","[28, 80, 18, 53]"
"3784","Six Degrees of Separation",0,"False",0,"en",5.324,112,"6.5",149,23210,"For Paul, every person is a new door to a new world.","08/12/1993","[9648, 18, 35]"
"3785","Swing Kids",5632086,"False",0,"en",6.771,112,"6.8",117,10419,"In a world on the brink of war. You either march to one tune or dance to another.","05/03/1993","[10402, 18]"
"3786","CB4",17953778,"False",0,"en",8.051,89,"6.2",66,15278,"Sex, rap and family values?","12/03/1993","[10402, 35]"
"3787","Searching for Bobby Fischer",7266383,"False",0,"en",7.32,110,"7.4",183,14291,"Every journey begins with a single move.","13/08/1993","[18]"
"3788","Alive",36733909,"False",32000000,"en",9.957,120,"6.8",790,7305,"The triumph of the human spirit","15/01/1993","[12, 18, 53]"
"3789","Short Cuts",6110979,"False",0,"en",9.562,187,"7.3",285,695,"Short Cuts raises the roof on America.","05/09/1993","[35, 18]"
"3790","The Vanishing",0,"False",0,"en",7.312,109,"6.1",243,1644,"If someone you loved mysteriously vanished how far out of your mind would you go to find them?","05/02/1993","[18, 9648, 53]"
"3791","Cronos",0,"False",0,"es",8.307,94,"6.6",286,11655,"","05/11/1993","[18, 27, 53]"
"3792","The Age of Innocence",32255440,"False",34000000,"en",8.301,139,"7",463,10436,"In a world of tradition. In an age of innocence. They dared to break the rules.","17/09/1993","[18, 10749]"
"3793","Son in Law",36448200,"False",0,"en",9.029,95,"6",152,13203,"He's a relative nightmare.","02/07/1993","[35, 18, 10749]"
"3794","Battle Angel",0,"False",0,"ja",6.516,54,"6.8",101,17189,"Hunter Warrior","21/06/1993","[16, 28, 878]"
"3795","Bad Boy Bubby",0,"False",750000,"en",6.765,114,"7.2",135,14135,"All He Needs Is Love.","01/09/1993","[35, 80, 18]"
"3796","Manhattan Murder Mystery",11285588,"False",13500000,"en",9.439,104,"7.3",480,10440,"Keaton & Allen reunited for fun flick!","18/08/1993","[35, 9648]"
"3797","Children of the Corn II: The Final Sacrifice",6980986,"False",900000,"en",7.357,92,"4.8",95,25748,"These children are home alone too. But their parents are never coming back.","29/01/1993","[27]"
"3798","Fire in the Sky",19724334,"False",19885552,"en",7.753,109,"6.5",238,15613,"Alien abduction. November 5, 1975. White Mountains, Northeastern Arizona. Based on the true story.","12/03/1993","[18, 9648, 878]"
"3799","Tai-Chi Master",0,"False",0,"cn",4.858,96,"7.1",117,11143,"","18/11/1993","[28, 35, 18, 53]"
"3800","Once Upon a Forest",6582052,"False",13000000,"en",6.706,71,"6.4",66,33539,"An Adventurous Race Against Time!","18/06/1993","[12, 16, 10751]"
"3801","Sonatine",0,"False",0,"ja",6.175,94,"7.6",241,7500,"A ferocious man sleeps here","10/04/1993","[28, 80, 53]"
"3802","Dragon: The Bruce Lee Story",63513743,"False",14000000,"en",8.974,120,"6.9",336,10423,"The Mystery. The Life. The Love. The Legend","07/05/1993","[18]"
"3803","Heaven & Earth",5,"False",33000000,"en",5.383,140,"6.6",97,31642,"An amazing true story of survival.","24/12/1993","[28, 18, 36, 10752]"
"3804","The Man Without a Face",24760338,"False",0,"en",8.967,114,"6.5",286,10502,"A fatherless boy had almost given up all his dreams... until one man believed in him enough to make them come true.","25/08/1993","[18]"
"3805","Benny's Video",0,"False",0,"de",6.709,105,"7.2",136,1987,"","04/03/1993","[80, 18, 27]"
"3806","The Untold Story",0,"False",0,"cn",6.84,95,"6.5",38,39857,"","13/05/1993","[35, 80, 18, 27]"
"3807","The Adventures of Huck Finn",0,"False",6500000,"en",6.11,108,"6.2",97,34723,"For anyone who has ever dreamed of running away from it all","02/04/1993","[12, 10751]"
"3808","So I Married an Axe Murderer",11585483,"False",20000000,"en",8.841,93,"6.2",207,10442,"The honeymoon was killer.","30/07/1993","[35, 80, 10749]"
"3809","Untamed Heart",18899204,"False",0,"en",6.166,102,"6.8",99,26333,"He doesn't make sense. She doesn't make sense. Together they make sense.","12/02/1993","[35, 18, 10749]"
"3810","Naked",0,"False",0,"en",8.817,131,"7.5",236,21450,"When unbalance leads to submission","14/09/1993","[35, 18]"
"3811","Sommersby",140081992,"False",0,"en",6.194,109,"6.2",186,1049,"She knew his face. His touch. His voice. She knew everything about him... But the truth.","05/02/1993","[18, 53, 9648, 10749]"
"3812","Germinal",0,"False",0,"fr",5.186,160,"6.7",163,51980,"Who needs God and Heaven? We can change this lousy world.","29/09/1993","[18, 10749]"
"3813","La classe américaine",0,"False",0,"fr",5.434,72,"7.8",111,16130,"Class is a state of mind","30/12/1993","[35]"
"3814","Warlock: The Armageddon",3902679,"False",3000000,"en",5.04,98,"5.1",62,24126,"","01/05/1993","[14, 27, 878]"
"3815","Look Who's Talking Now!",0,"False",0,"en",8.68,96,"5.1",550,11982,"The World's Favorite Family is Back.","05/11/1993","[35, 10749, 10751]"
"3816","The Thing Called Love",0,"False",14000000,"en",6.619,116,"6.3",73,27804,"Stand by your dream.","27/08/1993","[18, 10749]"
"3817","Geronimo: An American Legend",18635620,"False",35000000,"en",6.857,115,"6",81,35588,"A Warrior. A Leader. A Legend.","10/12/1993","[36, 37]"
"3818","Trauma",0,"False",0,"it",5.464,106,"6.2",93,44435,"Some Nightmares Haunt You. Some... Can Kill You.","12/03/1993","[27, 9648, 53]"
"3819","Kika",0,"False",0,"es",7.423,117,"6.9",130,8223,"","28/10/1993","[35, 18]"
"3820","The Good Son",44456478,"False",17000000,"en",8.525,87,"6.3",436,9272,"Evil has many faces","24/09/1993","[53]"
"3821","Mad Dog and Glory",11081586,"False",0,"en",7.66,96,"5.8",158,10433,"A cop who'd rather be an artist. A mobster who'd rather be a comic. And a woman who'd rather be anywhere but between them.","05/03/1993","[35, 80, 10749, 18]"
"3822","Poetic Justice",27515786,"False",14000000,"en",8.035,109,"6.7",96,8291,"A Street Romance.","23/07/1993","[18, 10749]"
"3823","Mr. Nanny",0,"False",0,"en",5.689,84,"4.8",93,19371,"He's big, he's bad, and he's babysitting. He doesn't stand a chance.","08/10/1993","[35, 10751]"
"3824","Body Bags",0,"False",0,"en",5.894,94,"6.1",123,31578,"Zip yourself in tight!","07/08/1993","[27, 10770]"
"3825","The Scent of Green Papaya",0,"False",0,"vi",6.452,104,"7.3",72,19552,"","08/06/1993","[18, 10749]"
"3826","Cannibal! The Musical",0,"False",125000,"en",4.701,97,"6.7",77,13063,"All Singing! All Dancing! All Flesh Eating!","01/10/1993","[35, 36, 27, 10402, 53, 37]"
"3827","Necronomicon",0,"False",0,"en",4.729,96,"6.1",53,32998,"","01/11/1993","[27]"
"3828","Shadowlands",25842000,"False",22000000,"en",6.384,131,"7.1",118,10445,"He distanced himself from love as he distanced himself from pain, until one woman got close enough to open his heart to the world.","25/12/1993","[18, 10749]"
"3829","Joshua Tree",0,"False",9000000,"en",5.154,106,"5.6",59,26127,"When it comes to getting even, he's taking revenge into overdrive.","08/04/1993","[28]"
"3830","Arizona Dream",0,"False",19000000,"en",8.226,142,"7.2",373,11044,"A rebellious young man. With his own version of the future. And his own fantasy of love.","06/01/1993","[35, 18, 14, 10749]"
"3831","Only the Strong",3283371,"False",6000000,"en",4.261,99,"6.8",71,15797,"The ultimate martial art.","27/08/1993","[28]"
"3832","Best of the Best 2",6500000,"False",0,"en",5.272,101,"5.7",55,32049,"Get ready for the ultimate challenge!","01/01/1993","[28, 53]"
"3833","Undercover Blues",12416686,"False",0,"en",6.516,90,"6.3",80,12661,"Intelligence runs in the family.","10/09/1993","[35, 80]"
"3834","Son of the Pink Panther",2438031,"False",25000000,"en",6.609,93,"4.2",104,46828,"Inspector Clouseau's biggest mistake lives on!","01/01/1993","[35, 80]"
"3835","The Baby of Mâcon",0,"False",0,"en",4.808,122,"7.6",40,5051,"","01/05/1993","[18, 36]"
"3836","Made in America",0,"False",22000000,"en",6.099,111,"5.5",167,12121,"At the sperm-bank she asked for a tall, intelligent, black man. One out of three ain't bad.","27/05/1993","[35]"
"3837","Dear Diary",0,"False",0,"it",5.591,100,"7.4",171,25403,"","12/10/1993","[35, 18]"
"3838","Madadayo",0,"False",0,"ja",4.48,134,"7.8",38,13889,"","17/04/1993","[18]"
"3839","Patlabor 2: The Movie",0,"False",0,"ja",4.67,107,"7.1",36,14572,"","07/08/1993","[28, 16, 878, 53]"
"3840","M. Butterfly",1499795,"False",0,"en",5.209,101,"6.7",79,1413,"","09/09/1993","[18, 10749]"
"3841","The Shawshank Redemption",28341469,"False",25000000,"en",36.004,142,"8.7",15049,278,"Fear can hold you prisoner. Hope can set you free.","23/09/1994","[80, 18]"
"3842","The Lion King",987483777,"False",45000000,"en",31.593,89,"8.3",11695,8587,"Life's greatest adventure is finding your place in the Circle of Life.","07/05/1994","[16, 18, 10751]"
"3843","Léon: The Professional",45284974,"False",16000000,"en",24.288,111,"8.3",8789,101,"If you want a job done well, hire a professional.","14/09/1994","[80, 18, 28]"
"3844","Pulp Fiction",214179088,"False",8000000,"en",33.662,154,"8.5",17551,680,"Just because you are a character doesn't mean you have character.","10/09/1994","[80, 53]"
"3845","The Mask",351583407,"False",23000000,"en",27.459,101,"6.8",6091,854,"From zero to hero.","29/07/1994","[10749, 35, 80, 14]"
"3846","Forrest Gump",677387716,"False",55000000,"en",28.383,142,"8.4",16933,13,"Life is like a box of chocolates...you never know what you're gonna get.","06/07/1994","[35, 18, 10749]"
"3847","Dragon Ball Z: Broly – Second Coming",0,"False",0,"ja",14.832,48,"6.5",317,44251,"Broly Is Back!","12/03/1994","[28, 16, 878]"
"3848","Daughter of Darkness 2",0,"False",0,"en",14.98,98,"4.8",4,105397,"","01/01/1994","[]"
"3849","True Lies",378882411,"False",115000000,"en",16.392,141,"6.9",2242,36955,"When he said I do, he never said what he did.","15/07/1994","[28, 53]"
"3850","Three Colors: Red",0,"False",0,"fr",15.978,100,"8.1",604,110,"","27/05/1994","[18, 9648, 10749]"
"3851","Natural Born Killers",50282766,"False",34000000,"en",12.014,119,"7.1",1881,241,"The Media Made Them Superstars.","25/08/1994","[80, 18, 53]"
"3852","Chungking Express",0,"False",0,"cn",17.211,102,"8.1",594,11104,"What a difference a day makes","14/07/1994","[18, 35, 10749]"
"3853","Stargate",196567262,"False",55000000,"en",12.133,121,"6.9",1861,2164,"It will take you a million light years from home. But will it bring you back?","27/10/1994","[28, 12, 878]"
"3854","Interview with the Vampire",223664608,"False",60000000,"en",12.909,123,"7.3",3314,628,"Drink from me and live forever","11/11/1994","[27, 18, 14]"
"3855","The Return of Jafar",0,"False",3500000,"en",16.822,69,"5.8",1109,15969,"The Aladdin adventure continues...","15/12/1994","[12, 16, 10749, 10751]"
"3856","Legends of the Fall",160638883,"False",30000000,"en",14.545,133,"7.4",1304,4476,"After the Fall from Innocence the Legend begins.","16/12/1994","[12, 18, 10749, 10752]"
"3857","Dumb and Dumber",247275374,"False",16000000,"en",15.785,107,"6.5",3792,8467,"What the one doesn't have, the other is missing.","16/12/1994","[35]"
"3858","Four Weddings and a Funeral",254700832,"False",6000000,"en",13.674,117,"6.7",1488,712,"Five good reasons to stay single.","09/03/1994","[35, 18, 10749]"
"3859","Ace Ventura: Pet Detective",107217396,"False",15000000,"en",13.508,86,"6.5",3509,3049,"He's the best there is! (Actually, he's the only one there is.)","04/02/1994","[35, 9648]"
"3860","The Voyeur",0,"False",0,"it",12.863,90,"4.4",82,27066,"","27/01/1994","[18, 10749]"
"3861","The Crow",9.4e+07,"False",15000000,"en",11.543,102,"7.5",2081,9495,"Believe in angels.","11/05/1994","[28, 14, 53]"
"3862","Speed",350448145,"False",30000000,"en",15.776,116,"7",3489,1637,"Get ready for rush hour","09/06/1994","[28, 12, 80]"
"3863","Naked Gun 33⅓: The Final Insult",51132598,"False",30000000,"en",13.032,83,"6.5",1096,36593,"A Mad Bomber is on the Loose, and If Anyone Can Stop Him....So Can Frank!","18/03/1994","[35, 80]"
"3864","Junior",108431355,"False",60000000,"en",15.022,109,"5",815,6280,"Nothing is inconceivable","22/11/1994","[35, 10749, 10751]"
