"","film","revenue","adult","budget","language","popularity","runtime","vote.average","vote.count","id","tagline","release.date","genres"
"1565","Adventures of Captain Vrungel",0,"False",0,"ru",2.813,117,"7.5",29,74535,"","06/06/1979","[16, 35, 12, 28]"
"1566","Rudolph and Frosty's Christmas in July",0,"False",0,"en",2.313,97,"6.7",29,40246,"","01/07/1979","[16, 14, 10751]"
"1567","The Visitor",0,"False",800000,"en",3.982,108,"5.1",43,54013,"They know we are here...","14/03/1979","[27, 878]"
"1568","Going in Style",0,"False",0,"en",2.451,97,"6.9",17,65066,"Whether they win or lose, they'll be ""Going in Style""","07/12/1979","[28, 35]"
"1569","The Lady in Red",0,"False",0,"en",3.24,93,"6",10,39771,"She's made of bullets, sin & bathtub gin!","01/07/1979","[28, 80, 53, 10749]"
"1570","Mimi",0,"False",0,"it",4.081,97,"9",2,80430,"","06/06/1979","[18]"
"1571","You're Out of Your Mind, Madicken",0,"False",0,"sv",1.747,98,"6.5",10,27598,"","13/12/1979","[10751]"
"1572","Wanda Nevada",2411145,"False",0,"en",2.547,107,"6.3",12,46460,"A PRO & A CON. The rest is history.","01/06/1979","[18]"
"1573","The Meeting Place Cannot Be Changed",0,"False",0,"ru",4.056,359,"8.2",29,67467,"","20/12/1979","[28, 80, 9648]"
"1574","The Plumber",0,"False",0,"en",2.625,77,"6.4",23,96909,"When your waterworks come back to haunt you!","08/06/1979","[10770, 53]"
"1575","A Policewoman on the Porno Squad",0,"False",0,"it",2.944,90,"4.4",17,53166,"","10/08/1979","[80, 35]"
"1576","Captain America II: Death Too Soon",0,"False",0,"en",4.022,88,"3.8",21,197481,"Sentinel of Liberty Returns","23/11/1979","[28, 18, 878, 10770]"
"1577","Rich Kids",0,"False",0,"en",2.138,101,"6.1",7,85327,"What happens when kids grow up and parents dont","01/08/1979","[18, 35, 53]"
"1578","¡Que Viva México!",0,"False",0,"ru",3.365,85,"7.2",23,63107,"","01/10/1979","[99, 36]"
"1579","The Passage",0,"False",0,"en",3.184,99,"6.5",17,51543,"An ice-swept escape route in front of them. A cold-blooded killer behind them. The only way out is up.","09/03/1979","[28, 18, 10752]"
"1580","Monkey Kung Fu",0,"False",0,"en",2.068,89,"6.4",5,90562,"","05/05/1979","[28]"
"1581","Angels' Brigade",0,"False",0,"en",3.898,97,"3",16,31251,"They'll blow you away!","01/01/1979","[28, 35]"
"1582","Mission Galactica: The Cylon Attack",0,"False",0,"en",3.886,108,"7.1",17,9640,"Their very existence menaced by a strange civilization.","01/01/1979","[27, 878]"
"1583","Eagle's Wing",0,"False",0,"en",2.624,111,"5.7",7,131194,"The west, the way it really was... before the myths were born.","23/11/1979","[37, 18]"
"1584","Şark Bülbülü",0,"False",0,"tr",2.554,0,"7.3",13,123594,"","01/01/1979","[35, 18]"
"1585","Going Steady",0,"False",0,"he",3.421,100,"6.3",17,10581,"","31/05/1979","[35, 10749]"
"1586","Hot Stuff",0,"False",0,"en",2.46,91,"7.7",10,99977,"You can't turn this mob over to the cops. They are the cops.","10/08/1979","[35]"
"1587","Cuba",0,"False",0,"en",2.079,122,"5.5",14,62001,"Part Heaven... Part Hell... Pure Havana.","21/12/1979","[28, 18, 10749, 53, 12, 10752]"
"1588","Van Nuys Blvd.",0,"False",0,"en",3.589,93,"5.3",6,67976,"The Greatest Cruisin' in the Land Takes Place on the Street - Where it all Began...","16/03/1979","[35, 18]"
"1589","Lost and Found",0,"False",0,"en",1.808,106,"5.8",5,175287,"","13/07/1979","[]"
"1590","Penitentiary",0,"False",0,"en",2.828,99,"5.4",14,65448,"There's only one way out, and 100 fools stand in the way!","01/12/1979","[28, 18, 80]"
"1591","Midnight Blue",0,"False",0,"en",2.086,83,"3.7",6,91890,"","31/05/1979","[53, 18]"
"1592","Tim",809000,"False",600000,"en",1.995,109,"6.5",28,31179,"A Heartrending Story of Courage and Devotion","13/07/1979","[10749, 18]"
"1593","Galaxy Express 999",0,"False",0,"ja",3.365,128,"6.8",32,15227,"Your imagination is the final destination","04/08/1979","[12, 16, 878]"
"1594","The Seduction of Joe Tynan",0,"False",0,"en",1.734,108,"6.4",11,47906,"What drives a man to his limits... the power of love or the love of power?","17/08/1979","[18]"
"1595","The Prisoner of Zenda",0,"False",0,"en",2.691,108,"5.9",18,1732,"","17/08/1979","[28, 12, 35]"
"1596","The Third Generation",0,"False",0,"de",1.7,105,"6.7",10,122683,"","14/09/1979","[35, 80]"
"1597","Starting Over",0,"False",0,"en",2.48,105,"6.8",11,54663,"He wants to straighten out his life.... one way or another","05/10/1979","[35, 10749]"
"1598","Breakthrough",0,"False",0,"en",2.699,111,"5.8",10,10841,"","01/03/1979","[18, 36, 10752]"
"1599","Prince and the Evening Star",0,"False",0,"cs",2.917,86,"5.7",9,84030,"","19/10/1979","[12, 14, 10749, 10751]"
"1600","Dragon Fist",0,"False",0,"zh",3.076,76,"6.6",31,46124,"","21/04/1979","[18, 28]"
"1601","The Shining",44781695,"False",19000000,"en",23.727,144,"8.2",10200,694,"He came as the caretaker, but this hotel had its own guardians - who'd been there a long time","22/05/1980","[27, 53]"
"1602","The Gods Must Be Crazy",6e+07,"False",5000000,"en",25.446,109,"7.1",526,8393,"The critics are raving... the natives are restless... and the laughter is non-stop!","10/09/1980","[28, 35]"
"1603","Airplane!",83453539,"False",3500000,"en",19.859,88,"7.3",2392,813,"What's slower than a speeding bullet, and able to hit tall buildings at a single bound?","02/07/1980","[35]"
"1604","Raging Bull",2.3e+07,"False",18000000,"en",17.08,129,"8",2222,1578,"","14/11/1980","[18]"
"1605","The Empire Strikes Back",538400000,"False",18000000,"en",21.553,124,"8.4",10953,1891,"The Adventure Continues...","20/05/1980","[28, 12, 878]"
"1606","The Blues Brothers",115229890,"False",27000000,"en",13.829,133,"7.7",2349,525,"They'll never get caught. They're on a mission from God.","17/06/1980","[10402, 35, 28, 80]"
"1607","Friday the 13th",59754601,"False",550000,"en",12.722,95,"6.3",1466,4488,"They were warned...They are doomed...And on Friday the 13th, nothing will save them.","09/05/1980","[27]"
"1608","Tender Cousins",0,"False",0,"fr",13.199,92,"5.9",18,73134,"","19/11/1980","[18, 10749]"
"1609","The Elephant Man",26010864,"False",5000000,"en",13.226,124,"8.1",1738,1955,"I am not an animal! I am a human being! I … am … a man!","02/10/1980","[18, 36]"
"1610","The Final Countdown",16647800,"False",12000000,"en",10.043,103,"6.3",236,8738,"Trapped outside the boundaries of time and space... 102 aircraft... 6,000 men... all missing.","31/01/1980","[28, 878, 10752]"
"1611","The Taming of the Scoundrel",0,"False",0,"it",9.746,104,"7.2",243,10986,"","20/12/1980","[35]"
"1612","The Blue Lagoon",58853106,"False",4500000,"en",13.159,104,"5.9",980,5689,"A sensuous story of natural love.","05/07/1980","[12, 18, 10749]"
"1613","Cannibal Holocaust",0,"False",100000,"it",12.622,95,"6.1",715,8689,"Can a movie go too far?","07/02/1980","[27]"
"1614","Superman II",190458706,"False",54000000,"en",14.511,127,"6.6",1298,8536,"The Man of Steel meets his match!","04/12/1980","[878, 28, 12]"
"1615","American Gigolo",22743674,"False",4800000,"en",8.798,117,"6",305,2768,"He's the highest paid lover in Beverly Hills. He leaves women feeling more alive than they've ever felt before. Except one.","08/02/1980","[80, 18, 53, 10749]"
"1616","Popeye",49823037,"False",20000000,"en",9.265,114,"5.3",318,11335,"The sailor man with the spinach can!","12/12/1980","[28, 12, 35, 10402, 10751]"
"1617","Caddyshack",39846344,"False",6000000,"en",11.898,98,"6.7",653,11977,"The snobs against the slobs!","25/07/1980","[35]"
"1618","Children's Island",2110516,"False",0,"sv",8.356,118,"6.9",7,80310,"Based on the 1976 popular children’s Novel “Children’s Island” by P.C.Jersilds","25/12/1980","[18, 10749, 10751]"
"1619","Dressed to Kill",31899000,"False",6500000,"en",12.357,105,"6.8",367,11033,"","25/07/1980","[9648, 53]"
"1620","The Last Metro",0,"False",0,"fr",8.075,131,"7.4",178,1716,"A story of love and conflict.","17/09/1980","[18, 10749, 10752]"
"1621","The Fog",21378361,"False",1000000,"en",12.204,89,"6.6",688,790,"Lock your doors. Bolt your windows. There's something in THE FOG!","08/02/1980","[27]"
"1622","Kagemusha",0,"False",0,"ja",10.255,180,"7.9",300,11953,"","26/04/1980","[28, 18, 36, 10752]"
"1623","Somewhere in Time",0,"False",5100000,"en",7.792,103,"7.3",226,16633,"Beyond fantasy. Beyond obsession. Beyond time itself... he will find her.","02/10/1980","[18, 14, 10749]"
"1624","Brubaker",37121708,"False",9000000,"en",8.534,125,"7.2",220,1623,"One man against a cruel system.","20/06/1980","[80, 18]"
"1625","Alligator",0,"False",1500000,"en",8.034,91,"5.7",122,33518,"It lives 50 feet beneath the city. It's 36 feet long. It weighs 2,000 pounds...And it's about to break out!","02/07/1980","[27, 878, 53]"
"1626","Prom Night",14796236,"False",1500000,"en",8.78,92,"5.6",173,36599,"If you're not back by midnight... you won't be coming home!","18/07/1980","[27, 9648, 53]"
"1627","Cheech & Chong's Next Movie",41675194,"False",0,"en",8.013,99,"6.1",123,13612,"Just what we all need! A really good hit!","18/07/1980","[28, 12, 35]"
"1628","The Long Good Friday",0,"False",0,"en",8.005,114,"7.3",145,14807,"Who lit the fuse that tore Harold's world apart?","01/11/1980","[80, 18, 9648]"
"1629","Cruising",0,"False",0,"en",8.493,102,"6.3",189,27958,"Al Pacino is Cruising for a killer.","06/05/1980","[80, 53]"
"1630","Any Which Way You Can",70687344,"False",0,"en",9.238,115,"6",164,17169,"Faster, funnier and wilder. It'll knock you out.","17/12/1980","[28, 12, 35]"
"1631","Bad Timing",0,"False",0,"en",5.853,123,"6.8",63,33214,"His terrifying obsession took them to the brink of death and beyond.","02/03/1980","[18, 9648, 53]"
"1632","Coal Miner's Daughter",67182787,"False",15000000,"en",6.957,125,"7.2",130,16769,"She was married at 13. She had four kids by the time she was 20. She's been hungry and poor. She's been loved and cheated on. She became a singer because it was the only thing she could do. She became a star because it was the only way she could do it.","07/03/1980","[18, 10402]"
"1633","Flash Gordon",27107960,"False",35000000,"en",11.241,111,"6.1",471,3604,"He'll save every one of us!","01/09/1980","[878]"
"1634","Ordinary People",0,"False",6000000,"en",11.129,124,"7.6",294,16619,"Everything is in its proper place...except the past.","19/09/1980","[18]"
"1635","Smokey and the Bandit II",66132626,"False",0,"en",8.169,100,"5.5",147,12705,"The Bandit is back and better than ever!","15/08/1980","[28, 35]"
"1636","Eaten Alive!",0,"False",0,"it",7.78,92,"5.2",54,8690,"Trapped in a jungle of crazy flesh eaters! The terrifying nightmare that became reality!","19/03/1980","[12, 27]"
"1637","Herbie Goes Bananas",0,"False",0,"en",6.623,110,"5.1",100,12129,"Yes, We Have A Bananza!","25/06/1980","[12, 35, 14, 10751]"
