"","id","film","revenue","budget","language","popularity","runtime","vote.average","vote.count","tagline","release.date","genres","certification","gender","actor.name"
"503",14373,"Death Wish II",4.5e+07,2000000,"en",7.634,88,6.1,186,"First His Wife. Now His Daughter. It's Time To Even The Score!","1982-02-20","[28, 80, 53]","R",1,"Jill Ireland"
"504",10150,"The Last Unicorn",6455530,0,"en",7.126,92,7.2,256,"There's Magic in Believing!","1982-11-19","[12, 16, 14, 10751]","G",2,"Jeff Bridges"
"505",9037,"Grease 2",15171476,13200000,"en",7.633,115,5.1,420,"The Music and Feeling go on Forever.","1982-06-11","[35, 10402, 10749, 10751]","PG",1,"Michelle Pfeiffer"
"506",5961,"Fanny and Alexander",6e+06,0,"sv",6.734,188,7.9,337,"","1982-12-17","[14, 18, 9648]","R",0,"Pernilla Allwin"
"507",24740,"The Entity",13277558,9000000,"en",8.234,125,6.4,194,"The ultimate story of supernatural terror!","1982-09-30","[27, 9648, 53]","R",2,"Ron Silver"
"508",97,"Tron",3.3e+07,17000000,"en",11.885,96,6.6,1237,"A world inside the computer where man has never been.  Until now.","1982-07-09","[878, 28, 12]","PG",2,"Bruce Boxleitner"
"509",6217,"Cat People",0,18000000,"en",10.54,118,5.9,209,"They are something more than lovers who are about to become something less than human.","1982-04-02","[14, 27, 53]","R",2,"Malcolm McDowell"
"510",23943,"Zapped!",0,0,"en",5.4,98,5.2,64,"They're getting a little behind in their classwork.","1982-07-23","[35]","R",2,"Willie Aames"
"511",14742,"Night Shift",21095683,0,"en",7.976,106,6.1,92,"Ever since two enterprising young men turned the City Morgue into a swinging business, people have been dying to get in.","1982-07-30","[35]","R",2,"Michael Keaton"
"512",15764,"Sophie's Choice",30036000,12000000,"en",6.414,151,7.5,436,"Between the innocent, the romantic, the sensual, and the unthinkable. There are still some things we have yet to imagine.","1982-12-08","[18, 10749]","R",2,"Kevin Kline"
"513",9576,"Tootsie",177200000,21000000,"en",10.705,116,7.2,934,"","1982-12-16","[35, 10749]","PG",1,"Jessica Lange"
"514",16441,"The Beastmaster",14056528,0,"en",7.81,118,6,165,"Born with the courage of an eagle, the strength of a black tiger, and the power of a god.","1982-08-20","[14]","PG",1,"Tanya Roberts"
"515",16235,"Amityville II: The Possession",12534817,0,"en",10.288,104,5.8,150,"Don't forget to check under the bed...","1982-09-24","[27]","R",2,"Burt Young"
"516",27088,"The Last American Virgin",0,0,"en",6.649,92,6.3,90,"The comedy that puts ZIP into being a teen...","1982-06-26","[35]","R",NA,NA
