"","id","film","popularity","vote.average","vote.count","release.date","gender","year","gen1","genreF","pop1","name"
"179",8333,"The Taking of Pelham One Two Three",6.515,7.5,216,"1974-10-02",2,"1974","gm2","28",1.87410721057681,"Action"
"180",42269,"We All Loved Each Other So Much",8.264,8.5,193,"1974-01-01",2,"1974","gm2","35",2.11190873181734,"Comedy"
"181",11942,"Bring Me the Head of Alfredo Garcia",7.188,7,160,"1974-08-07",1,"1974","gm2","28",1.97241296892131,"Action"
"182",11123,"Earthquake",7.379,5.8,142,"1974-11-15",1,"1974","gm2","28",1.99863812807623,"Action"
"183",26648,"The Night Porter",5.269,7,119,"1974-04-03",1,"1974","gm2","18",1.66184059122715,"Drama"
"184",4985,"The Longest Yard",6.06,6.7,129,"1974-08-21",2,"1974","gm2","35",1.80170980008122,"Comedy"
"185",10869,"Herbie Rides Again",6.6,5.9,178,"1974-02-14",2,"1974","gm2","35",1.88706964903238,"Comedy"
"186",11710,"The Enigma of Kaspar Hauser",4.868,7.5,140,"1974-11-01",2,"1974","gm2","18",1.58268317512528,"Drama"
"187",216,"Ali: Fear Eats the Soul",7.051,7.8,167,"1974-06-05",2,"1974","gm2","10749",1.9531694507369,"Romance"
"188",12310,"The Four Musketeers",6.406,6.5,88,"1974-10-31",1,"1974","gm2","28",1.85723505118697,"Action"
"189",11681,"Two Missionaries",5.557,6.5,129,"1974-12-21",2,"1974","gm2","28",1.71505839429778,"Action"
"190",4923,"Zardoz",6.981,6,189,"1974-02-06",1,"1974","gm2","28",1.94319217298826,"Action"
"191",29845,"A Woman Under the Influence",5.854,8,188,"1974-09-19",1,"1974","gm2","18",1.76712518826969,"Drama"
"192",5121,"The Sugarland Express",5.782,6.6,165,"1974-04-05",2,"1974","gm2","80",1.75474964359415,"Crime"
"193",22048,"Foxy Brown",4.583,6.6,88,"1974-04-05",2,"1974","gm2","28",1.52235380552699,"Action"
"194",11034,"The Great Gatsby",7.095,6.3,274,"1974-03-27",1,"1974","gm2","18",1.95939031061201,"Drama"
"195",27327,"Phantom of the Paradise",6.462,7.6,283,"1974-10-31",2,"1974","gm2","35",1.86593886740231,"Comedy"
"196",27094,"Lenny",7.453,7.4,113,"1974-11-10",1,"1974","gm2","18",2.00861663589956,"Drama"
"197",1410,"Dark Star",5.94,6.2,230,"1974-04-01",0,"1974","gm2","35",1.78170913337455,"Comedy"
"198",27085,"The Land That Time Forgot",7.328,5.4,76,"1974-08-13",2,"1974","gm2","12",1.99170262737183,"Adventure"
"199",1559,"Sweet Movie",4.816,5.7,62,"1974-06-12",2,"1974","gm2","35",1.57194370800652,"Comedy"
"200",17365,"The Parallax View",5.19,6.9,116,"1974-06-14",2,"1974","gm2","80",1.6467336971778,"Crime"
